chapter,paragraph,sentence,text,tokens,token_count,tokens_str
CHAPTER II,1,1,Mr. Bennet was among the earliest of those who waited on Mr. Bingley.,"['bennet', 'among', 'earliest', 'waited', 'bingley']",5,bennet among earliest waited bingley
CHAPTER II,1,2,"He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid she had no knowledge of it.","['always', 'intended', 'visit', 'though', 'last', 'always', 'assuring', 'wife', 'go', 'till', 'evening', 'visit', 'paid', 'knowledge']",14,always intended visit though last always assuring wife go till evening visit paid knowledge
CHAPTER II,1,3,It was then disclosed in the following manner.,"['disclosed', 'following', 'manner']",3,disclosed following manner
CHAPTER II,1,4,"Observing his second daughter employed in trimming a hat, he suddenly addressed her with,--","['observing', 'second', 'daughter', 'employed', 'trimming', 'hat', 'suddenly', 'addressed']",8,observing second daughter employed trimming hat suddenly addressed
CHAPTER II,2,1,"“I hope Mr. Bingley will like it, Lizzy.”","['hope', 'bingley', 'like', 'lizzy']",4,hope bingley like lizzy
CHAPTER II,3,1,"“We are not in a way to know _what_ Mr. Bingley likes,” said her mother, resentfully, “since we are not to visit.”","['way', 'know', 'bingley', 'like', 'said', 'mother', 'resentfully', 'since', 'visit']",9,way know bingley like said mother resentfully since visit
CHAPTER II,4,1,"“But you forget, mamma,” said Elizabeth, “that we shall meet him at the assemblies, and that Mrs. Long has promised to introduce him.”","['forget', 'mamma', 'said', 'elizabeth', 'shall', 'meet', 'assembly', 'long', 'promised', 'introduce']",10,forget mamma said elizabeth shall meet assembly long promised introduce
CHAPTER II,5,1,“I do not believe Mrs. Long will do any such thing.,"['believe', 'long', 'thing']",3,believe long thing
CHAPTER II,5,2,She has two nieces of her own.,"['two', 'niece']",2,two niece
CHAPTER II,5,3,"She is a selfish, hypocritical woman, and I have no opinion of her.”","['selfish', 'hypocritical', 'woman', 'opinion']",4,selfish hypocritical woman opinion
CHAPTER II,6,1,"“No more have I,” said Mr. Bennet; “and I am glad to find that you do not depend on her serving you.”","['said', 'bennet', 'glad', 'find', 'depend', 'serving']",6,said bennet glad find depend serving
CHAPTER II,7,1,"Mrs. Bennet deigned not to make any reply; but, unable to contain herself, began scolding one of her daughters.","['bennet', 'deigned', 'make', 'reply', 'unable', 'contain', 'began', 'scolding', 'one', 'daughter']",10,bennet deigned make reply unable contain began scolding one daughter
CHAPTER II,8,1,"“Don’t keep coughing so, Kitty, for heaven’s sake!","['keep', 'coughing', 'kitty', 'heaven', 'sake']",5,keep coughing kitty heaven sake
CHAPTER II,8,2,Have a little compassion on my nerves.,"['little', 'compassion', 'nerve']",3,little compassion nerve
CHAPTER II,8,3,You tear them to pieces.”,"['tear', 'piece']",2,tear piece
CHAPTER II,9,1,"“Kitty has no discretion in her coughs,” said her father; “she times them ill.”","['kitty', 'discretion', 'cough', 'said', 'father', 'time', 'ill']",7,kitty discretion cough said father time ill
CHAPTER II,10,1,"“I do not cough for my own amusement,” replied Kitty, fretfully.","['cough', 'amusement', 'replied', 'kitty', 'fretfully']",5,cough amusement replied kitty fretfully
CHAPTER II,10,2,"“When is your next ball to be, Lizzy?”","['next', 'ball', 'lizzy']",3,next ball lizzy
CHAPTER II,11,1,“To-morrow fortnight.”,['fortnight'],1,fortnight
CHAPTER II,12,1,"“Ay, so it is,” cried her mother, “and Mrs. Long does not come back till the day before; so, it will be impossible for her to introduce him, for she will not know him herself.”","['ay', 'cried', 'mother', 'long', 'come', 'back', 'till', 'day', 'impossible', 'introduce', 'know']",11,ay cried mother long come back till day impossible introduce know
CHAPTER II,13,1,"“Then, my dear, you may have the advantage of your friend, and introduce Mr. Bingley to _her_.”","['dear', 'may', 'advantage', 'friend', 'introduce', 'bingley']",6,dear may advantage friend introduce bingley
CHAPTER II,14,1,"“Impossible, Mr. Bennet, impossible, when I am not acquainted with him myself; how can you be so teasing?”","['impossible', 'bennet', 'impossible', 'acquainted', 'teasing']",5,impossible bennet impossible acquainted teasing
CHAPTER II,15,1,“I honour your circumspection.,"['honour', 'circumspection']",2,honour circumspection
CHAPTER II,15,2,A fortnight’s acquaintance is certainly very little.,"['fortnight', 'acquaintance', 'certainly', 'little']",4,fortnight acquaintance certainly little
CHAPTER II,15,3,One cannot know what a man really is by the end of a fortnight.,"['one', 'know', 'man', 'really', 'end', 'fortnight']",6,one know man really end fortnight
CHAPTER II,15,4,"But if _we_ do not venture, somebody else will; and after all, Mrs. Long and her nieces must stand their chance; and, therefore, as she will think it an act of kindness, if you decline the office, I will take it on myself.”","['venture', 'somebody', 'else', 'long', 'niece', 'must', 'stand', 'chance', 'therefore', 'think', 'act', 'kindness', 'decline', 'office', 'take']",15,venture somebody else long niece must stand chance therefore think act kindness decline office take
CHAPTER II,16,1,The girls stared at their father.,"['girl', 'stared', 'father']",3,girl stared father
CHAPTER II,16,2,"Mrs. Bennet said only, “Nonsense, nonsense!”","['bennet', 'said', 'nonsense', 'nonsense']",4,bennet said nonsense nonsense
CHAPTER II,17,1,“What can be the meaning of that emphatic exclamation?” cried he.,"['meaning', 'emphatic', 'exclamation', 'cried']",4,meaning emphatic exclamation cried
CHAPTER II,17,2,"“Do you consider the forms of introduction, and the stress that is laid on them, as nonsense?","['consider', 'form', 'introduction', 'stress', 'laid', 'nonsense']",6,consider form introduction stress laid nonsense
CHAPTER II,17,3,I cannot quite agree with you _there_.,"['quite', 'agree']",2,quite agree
CHAPTER II,17,4,"What say you, Mary?","['say', 'mary']",2,say mary
CHAPTER II,17,5,"For you are a young lady of deep reflection, I know, and read great books, and make extracts.”","['young', 'lady', 'deep', 'reflection', 'know', 'read', 'great', 'book', 'make', 'extract']",10,young lady deep reflection know read great book make extract
CHAPTER II,18,1,"Mary wished to say something very sensible, but knew not how.","['mary', 'wished', 'say', 'something', 'sensible', 'knew']",6,mary wished say something sensible knew
CHAPTER II,19,1,"“While Mary is adjusting her ideas,” he continued, “let us return to Mr. Bingley.”","['mary', 'adjusting', 'idea', 'continued', 'let', 'u', 'return', 'bingley']",8,mary adjusting idea continued let u return bingley
CHAPTER II,20,1,"“I am sick of Mr. Bingley,” cried his wife.","['sick', 'bingley', 'cried', 'wife']",4,sick bingley cried wife
CHAPTER II,21,1,“I am sorry to hear _that_; but why did you not tell me so before?,"['sorry', 'hear', 'tell']",3,sorry hear tell
CHAPTER II,21,2,"If I had known as much this morning, I certainly would not have called on him.","['known', 'much', 'morning', 'certainly', 'would', 'called']",6,known much morning certainly would called
CHAPTER II,21,3,"It is very unlucky; but as I have actually paid the visit, we cannot escape the acquaintance now.”","['unlucky', 'actually', 'paid', 'visit', 'escape', 'acquaintance']",6,unlucky actually paid visit escape acquaintance
CHAPTER II,22,1,"The astonishment of the ladies was just what he wished--that of Mrs. Bennet perhaps surpassing the rest; though when the first tumult of joy was over, she began to declare that it was what she had expected all the while.","['astonishment', 'lady', 'wished', 'bennet', 'perhaps', 'surpassing', 'rest', 'though', 'first', 'tumult', 'joy', 'began', 'declare', 'expected']",14,astonishment lady wished bennet perhaps surpassing rest though first tumult joy began declare expected
